id,event,environment_publicbenefit_f_slp,start,stop
SC,0,0.5303884741376617,31.0,32.0
SC,0,0.5493164583806739,32.0,40.0
SC,0,0.5569732998800598,40.0,41.0
SD,0,0.0,0.0,18.0
SD,0,0.0676042389101089,18.0,19.0
SD,0,0.1785561800503593,19.0,20.0
SD,0,0.1785561800503593,20.0,21.0
SD,0,0.2650043656982723,21.0,22.0
SD,0,0.2877212454171182,22.0,23.0
SD,0,0.2939283364304091,23.0,30.0
SD,0,0.3080448618506904,30.0,31.0
SD,0,0.3389292297994887,31.0,32.0
SD,0,0.3396166722798822,32.0,40.0
SD,0,0.3674174648940229,40.0,41.0
TN,0,0.0,0.0,18.0
TN,0,0.0941125180957936,18.0,19.0
TN,0,0.2594518560922763,19.0,20.0
TN,0,0.2594518560922763,20.0,21.0
TN,0,0.4825730289670698,21.0,22.0
TN,0,0.5310161527550086,22.0,23.0
TN,0,0.5569008346713066,23.0,30.0
TN,0,0.5725407217499333,30.0,31.0
TN,0,0.5775396789014294,31.0,32.0
TN,0,0.5867084436988997,32.0,40.0
TN,0,0.5885473224028513,40.0,41.0
TX,0,0.0,0.0,18.0
TX,0,0.1011091958525698,18.0,19.0
TX,0,0.1991366561951828,19.0,20.0
TX,0,0.1991366561951828,20.0,21.0
TX,0,0.2715486675155047,21.0,22.0
TX,0,0.341964815264296,22.0,23.0
TX,0,0.3854407108154069,23.0,30.0
TX,0,0.4016685744884553,30.0,31.0
TX,0,0.4097186762446432,31.0,32.0
TX,0,0.4399645213499267,32.0,40.0
TX,0,0.4646572143975161,40.0,41.0
UT,0,0.0,0.0,18.0
UT,0,0.0213634903166516,18.0,19.0
UT,0,0.1351881978513259,19.0,20.0
UT,0,0.1351881978513259,20.0,21.0
UT,0,0.2280023446331082,21.0,22.0
UT,0,0.2934886336096608,22.0,23.0
UT,0,0.3164211613965974,23.0,30.0
UT,0,0.3357904354428711,30.0,31.0
UT,0,0.3424853673587478,31.0,32.0
UT,0,0.3435553968688703,32.0,40.0
UT,0,0.3544259876168252,40.0,41.0
VA,0,0.0,0.0,18.0
VA,0,0.0871545951552748,18.0,19.0
VA,0,0.1424974635135378,19.0,20.0
VA,0,0.1424974635135378,20.0,21.0
VA,0,0.2597866459546594,21.0,22.0
VA,0,0.3126132988047336,22.0,23.0
VA,0,0.325578943104818,23.0,30.0
VA,0,0.3424087808106595,30.0,31.0
VA,0,0.3442061348522704,31.0,32.0
VA,1,0.3567404950967578,32.0,39.0
VT,0,0.0,0.0,18.0
VT,0,0.0389311798378712,18.0,19.0
VT,1,0.0705112574914932,19.0,20.0
WA,0,0.0,0.0,18.0
WA,0,0.0452102288418175,18.0,19.0
WA,0,0.1461661871376846,19.0,20.0
WA,0,0.1461661871376846,20.0,21.0
WA,0,0.3312011149766242,21.0,22.0
WA,0,0.3759848991043111,22.0,23.0
WA,0,0.3917005363171791,23.0,30.0
WA,0,0.4013113657587167,30.0,31.0
WA,0,0.4080567564459303,31.0,32.0
WA,0,0.4548860839039461,32.0,40.0
WA,0,0.4573274509834718,40.0,41.0
WI,0,0.0,0.0,18.0
WI,0,0.0176824520769496,18.0,19.0
WI,1,0.0710212451912056,19.0,20.0
WV,0,0.0,0.0,18.0
WV,0,0.0413631859890405,18.0,19.0
WV,0,0.091361557206689,19.0,20.0
WV,0,0.091361557206689,20.0,21.0
WV,0,0.3525575769565708,21.0,22.0
WV,0,0.3819072203531466,22.0,23.0
WV,0,0.3832444659890884,23.0,30.0
WV,0,0.4236573246477765,30.0,31.0
WV,0,0.4659463213763186,31.0,32.0
WV,0,0.4693177327563754,32.0,40.0
WV,0,0.492870065957066,40.0,41.0
WY,0,0.0,0.0,18.0
WY,0,0.089007305979205,18.0,19.0
WY,0,0.1563545495172045,19.0,20.0
WY,0,0.1563545495172045,20.0,21.0
WY,0,0.3597806208033005,21.0,22.0
WY,0,0.3724672585982506,22.0,23.0
WY,0,0.3842066516238445,23.0,30.0
WY,0,0.3849172834302237,30.0,31.0
WY,0,0.4387431567913452,31.0,32.0
WY,0,0.4405634750232394,32.0,40.0
WY,0,0.4428691752830356,40.0,41.0
