id,event,w4_environment_state_rps_21_slp,start,stop
OK,0,0.6615572839637739,31.0,32.0
OK,0,0.6860374675602141,32.0,41.0
OR,0,0.048127790510379,0.0,18.0
OR,0,0.079704065287447,18.0,19.0
OR,0,0.0959018768141984,19.0,20.0
OR,0,0.1276268056921414,20.0,21.0
OR,0,0.1416592786795195,21.0,22.0
OR,0,0.1743005099715107,22.0,26.0
OR,0,0.2788389653693011,26.0,27.0
OR,1,0.3143738783493307,27.0,28.0
PA,0,0.0221526808131987,0.0,18.0
PA,0,0.0875167805714212,18.0,19.0
PA,0,0.1099646417867588,19.0,20.0
PA,0,0.1576276338245013,20.0,21.0
PA,0,0.1602397688317163,21.0,22.0
PA,0,0.1602397688317163,22.0,24.0
PA,1,0.1753107326085594,24.0,25.0
RI,0,0.058395683308949,0.0,18.0
RI,0,0.0704414929363196,18.0,19.0
RI,0,0.0951766475211581,19.0,20.0
RI,0,0.1233978953936249,20.0,21.0
RI,0,0.1751887635570179,21.0,22.0
RI,0,0.1751887635570179,22.0,24.0
RI,1,0.2015878649367216,24.0,25.0
SC,0,0.0601779604736848,0.0,18.0
SC,0,0.0806987872763289,18.0,19.0
SC,0,0.1136215498039078,19.0,20.0
SC,0,0.1248280060204781,20.0,21.0
SC,0,0.1591746088966367,21.0,22.0
SC,0,0.2241493288790665,22.0,26.0
SC,0,0.3325044295225577,26.0,27.0
SC,0,0.3802457533591146,27.0,28.0
SC,0,0.3917456504775719,28.0,29.0
SC,0,0.502167206673864,29.0,30.0
SC,0,0.6870338214816184,30.0,31.0
SC,0,0.7393854909750587,31.0,32.0
SC,0,0.7556286565967459,32.0,41.0
SD,0,0.0074061777878217,0.0,18.0
SD,0,0.0085152916290427,18.0,19.0
SD,0,0.0271301663404483,19.0,20.0
SD,0,0.0503743799560076,20.0,21.0
SD,0,0.2087877374305255,21.0,22.0
SD,0,0.2213207839453121,22.0,26.0
SD,0,0.3564008815288313,26.0,27.0
SD,0,0.4246817710201699,27.0,28.0
SD,0,0.4442700861972671,28.0,29.0
SD,0,0.5562990573236385,29.0,30.0
SD,0,0.598879551577338,30.0,31.0
SD,0,0.6252060370624779,31.0,32.0
SD,0,0.6288142787663891,32.0,41.0
TN,0,0.0514880651661552,0.0,18.0
TN,0,0.0527376651830574,18.0,19.0
TN,0,0.0710806195293222,19.0,20.0
TN,0,0.1148243539457059,20.0,21.0
TN,0,0.1217748920885017,21.0,22.0
TN,0,0.1499579478022568,22.0,26.0
TN,0,0.3369617559150772,26.0,27.0
TN,0,0.4746775885646997,27.0,28.0
TN,0,0.4821183848889514,28.0,29.0
TN,0,0.5443458526509369,29.0,30.0
TN,0,0.6143920688823507,30.0,31.0
TN,0,0.6499749360884468,31.0,32.0
TN,0,0.7012722096095213,32.0,41.0
TX,0,0.041730194188401,0.0,18.0
TX,0,0.0543982370032688,18.0,19.0
TX,1,0.0928260200034029,19.0,20.0
UT,0,0.1005050520625062,0.0,18.0
UT,0,0.1060206509297483,18.0,19.0
UT,0,0.1148030191169575,19.0,20.0
UT,0,0.138454605792246,20.0,21.0
UT,0,0.1889065509473756,21.0,22.0
UT,0,0.2146864275032809,22.0,26.0
UT,0,0.2860230398626833,26.0,27.0
UT,0,0.3733776793516714,27.0,28.0
UT,0,0.3886101536102982,28.0,29.0
UT,0,0.4660087041601509,29.0,30.0
UT,0,0.5097441878045235,30.0,31.0
UT,0,0.5729214263570048,31.0,32.0
UT,0,0.5758188707244881,32.0,41.0
VA,0,0.0203437380128052,0.0,18.0
VA,0,0.0309289032227811,18.0,19.0
VA,0,0.0494886104745659,19.0,20.0
VA,0,0.0845094234047537,20.0,21.0
VA,0,0.0932272427884185,21.0,22.0
VA,0,0.1080347803210739,22.0,26.0
VA,0,0.2358719844240306,26.0,27.0
VA,0,0.245144334897343,27.0,28.0
VA,0,0.2611192933748023,28.0,29.0
VA,0,0.3698979228413794,29.0,30.0
VA,0,0.5015409102349511,30.0,31.0
VA,0,0.5636726208314977,31.0,32.0
