id,event,w_environment_solar_taxcred_slp,start,stop
SC,0,0.2828652423120489,17.0,18.0
SC,0,0.2903463057271209,18.0,21.0
SC,0,0.3310314852633584,21.0,22.0
SC,0,0.3471483340495812,22.0,23.0
SC,0,0.3757585877263206,23.0,24.0
SC,0,0.4326162753503392,24.0,25.0
SC,0,0.4889656395246948,25.0,26.0
SC,1,0.4889656395246948,26.0,27.0
SD,0,0.2289543969737789,0.0,2.0
SD,0,0.2290654400268644,2.0,3.0
SD,0,0.4453791914968716,3.0,4.0
SD,0,0.448730426490222,4.0,16.0
SD,0,0.4806325315620681,16.0,17.0
SD,0,0.481741645403289,17.0,18.0
SD,0,0.4832949196424262,18.0,21.0
SD,0,0.5144367219882003,21.0,22.0
SD,0,0.5285532474084816,22.0,23.0
SD,0,0.5682337673289556,23.0,24.0
SD,0,0.5744408583422463,24.0,25.0
SD,0,0.5876787317876835,25.0,26.0
SD,0,0.5876787317876835,26.0,28.0
SD,0,0.6094237092806905,28.0,29.0
SD,0,0.6815895218942865,29.0,30.0
SD,0,0.6947528137883199,30.0,31.0
SD,0,0.7143411289654171,31.0,32.0
SD,0,0.7386047629832578,32.0,33.0
SD,0,0.7842800085340267,33.0,41.0
TN,0,0.1664271459846132,0.0,2.0
TN,0,0.199873511366686,2.0,3.0
TN,0,0.3000430551176815,3.0,4.0
TN,0,0.3178989743323474,4.0,16.0
TN,0,0.3660976951773804,16.0,17.0
TN,0,0.3673472951942826,17.0,18.0
TN,0,0.3848002649881887,18.0,21.0
TN,0,0.4730327911084047,21.0,22.0
TN,0,0.4886726781870315,22.0,23.0
TN,0,0.5202988977731655,23.0,24.0
TN,0,0.5461835796894635,24.0,25.0
TN,0,0.5851155157994645,25.0,26.0
TN,0,0.5851155157994645,26.0,28.0
TN,0,0.5859950547411344,28.0,29.0
TN,0,0.6402798628220048,29.0,30.0
TN,1,0.6789666387240997,30.0,31.0
TX,1,0.1136104069732955,0.0,2.0
UT,0,0.1410164214600688,0.0,2.0
UT,0,0.1623669394852782,2.0,3.0
UT,0,0.2903686048872851,3.0,4.0
UT,0,0.3101422287860566,4.0,16.0
UT,0,0.3231557570208361,16.0,17.0
UT,0,0.3286713558880783,17.0,18.0
UT,0,0.362696926943469,18.0,21.0
UT,1,0.3913644605416926,21.0,22.0
VA,0,0.1935146988965486,0.0,2.0
VA,0,0.1953275648878221,2.0,3.0
VA,0,0.2167713910001629,3.0,4.0
VA,0,0.2652891112176714,4.0,16.0
VA,0,0.2928404427155348,16.0,17.0
VA,0,0.3034256079255107,17.0,18.0
VA,0,0.3055665034495498,18.0,21.0
VA,0,0.3196481319165232,21.0,22.0
VA,0,0.3364779696223648,22.0,23.0
VA,0,0.43368797449768,23.0,24.0
VA,0,0.4466536187977644,24.0,25.0
VA,0,0.4836465949069243,25.0,26.0
VA,0,0.4836465949069243,26.0,28.0
VA,0,0.4963453464007564,28.0,29.0
VA,0,0.5416779741035046,29.0,30.0
VA,0,0.5688609862259585,30.0,31.0
VA,0,0.5848359447034178,31.0,32.0
VA,0,0.6191708500566276,32.0,33.0
VA,0,0.7064854460074443,33.0,41.0
VT,0,0.1010235340527053,0.0,2.0
VT,0,0.1228000349666026,2.0,3.0
VT,0,0.1434217927011826,3.0,4.0
VT,0,0.1717295850982181,4.0,16.0
VT,0,0.2402274486898321,16.0,17.0
VT,0,0.2779950228274646,17.0,18.0
VT,0,0.2779950228274646,18.0,19.0
VT,1,0.288976357422444,19.0,20.0
WA,0,0.1497366057267083,0.0,2.0
WA,0,0.1954651601556788,2.0,3.0
WA,0,0.2429718303442989,3.0,4.0
